total_load_kwh,total_pv_kwh,pv_curtailed_kwh,pv_used_kwh,energy_not_served_kwh,self_sufficiency_percent,pv_utilization_percent,throughput_charge_kwh,throughput_discharge_kwh,estimated_full_cycles,loss_of_load_hours,max_contiguous_lol_hours,diag_pv_points,diag_load_points,diag_pv_step_seconds,diag_load_step_seconds,diag_target_freq,diag_target_step_hours,diag_pv_mean_before,diag_pv_mean_after,diag_load_mean_before,diag_load_mean_after,diag_interp,capacity_kwh,power_kw
151491.5,305578.33,171626.26,133952.06,18897.05,88.0,44.0,17561.42,16203.8,168.59,5694,38,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,17.247281835259294,linear,50,60.0
151491.5,305578.33,163003.8,142574.53,10931.39,93.0,47.0,26183.88,24169.47,125.68,3528,36,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,17.247281835259294,linear,100,60.0
151491.5,305578.33,158163.38,147414.94,6482.76,96.0,48.0,31024.3,28618.09,99.28,1698,36,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,17.247281835259294,linear,150,60.0
151491.5,305578.33,156146.69,149431.64,4648.18,97.0,49.0,33040.99,30452.68,79.3,1098,36,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,17.247281835259294,linear,200,60.0
151491.5,305578.33,154982.03,150596.3,3598.82,98.0,49.0,34205.66,31502.03,65.63,780,36,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,17.247281835259294,linear,250,60.0
151491.5,305578.33,154119.65,151458.67,2828.06,98.0,50.0,35068.03,32272.79,56.03,651,36,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,17.247281835259294,linear,300,60.0
151491.5,305578.33,153331.02,152247.31,2125.25,99.0,50.0,35856.66,32975.6,49.07,508,36,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,17.247281835259294,linear,350,60.0
151491.5,305578.33,152704.07,152874.26,1571.46,99.0,50.0,36483.61,33529.4,43.66,363,36,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,17.247281835259294,linear,400,60.0
151491.5,305578.33,152226.37,153351.95,1155.21,99.0,50.0,36961.31,33945.64,39.29,232,24,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,17.247281835259294,linear,450,60.0
151491.5,305578.33,151889.94,153688.38,869.16,99.0,50.0,37297.74,34231.69,35.66,156,21,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,17.247281835259294,linear,500,60.0
151491.5,305578.33,151647.9,153930.43,670.09,100.0,50.0,37539.78,34430.76,32.6,83,20,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,17.247281835259294,linear,550,60.0
151491.5,305578.33,151524.06,154054.27,579.96,100.0,50.0,37663.63,34520.9,29.97,73,20,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,17.247281835259294,linear,600,60.0
151491.5,305578.33,151404.26,154174.06,493.56,100.0,50.0,37783.42,34607.3,27.73,67,19,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,17.247281835259294,linear,650,60.0
151491.5,305578.33,151284.47,154293.85,407.16,100.0,50.0,37903.21,34693.7,25.81,65,18,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,14.26921322690992,17.247281835259294,linear,700,60.0
