total_load_kwh,total_pv_kwh,pv_curtailed_kwh,pv_used_kwh,energy_not_served_kwh,self_sufficiency_percent,pv_utilization_percent,throughput_charge_kwh,throughput_discharge_kwh,estimated_full_cycles,loss_of_load_hours,max_contiguous_lol_hours,diag_pv_points,diag_load_points,diag_pv_step_seconds,diag_load_step_seconds,diag_target_freq,diag_target_step_hours,diag_pv_mean_before,diag_pv_mean_after,diag_load_mean_before,diag_load_mean_after,diag_interp,capacity_kwh,power_kw
75031.5,87308.09,25420.92,61887.18,13949.78,81.0,71.0,10518.56,9713.1,100.98,6216,42,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.553933865450399,8.542323675072579,linear,50,30.0
75031.5,87308.09,22741.0,64567.09,11460.77,85.0,74.0,13198.47,12202.11,63.35,4790,42,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.553933865450399,8.542323675072579,linear,100,30.0
75031.5,87308.09,20758.66,66549.44,9614.64,87.0,76.0,15180.82,14048.24,48.58,4037,42,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.553933865450399,8.542323675072579,linear,150,30.0
75031.5,87308.09,18971.66,68336.44,7984.31,89.0,78.0,16967.82,15678.57,40.72,3307,42,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.553933865450399,8.542323675072579,linear,200,30.0
75031.5,87308.09,17370.26,69937.83,6532.46,91.0,80.0,18569.21,17130.42,35.65,2690,42,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.553933865450399,8.542323675072579,linear,250,30.0
75031.5,87308.09,16070.99,71237.11,5345.01,93.0,82.0,19868.49,18317.87,31.79,2185,42,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.553933865450399,8.542323675072579,linear,300,30.0
75031.5,87308.09,15253.02,72055.07,4571.98,94.0,83.0,20686.45,19090.9,28.37,1837,41,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.553933865450399,8.542323675072579,linear,350,30.0
75031.5,87308.09,14746.47,72561.62,4085.94,95.0,83.0,21193.0,19576.94,25.43,1690,39,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.553933865450399,8.542323675072579,linear,400,30.0
75031.5,87308.09,14366.43,72941.66,3716.49,95.0,84.0,21573.05,19946.39,23.01,1519,37,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.553933865450399,8.542323675072579,linear,450,30.0
75031.5,87308.09,14080.77,73227.32,3434.03,95.0,84.0,21858.71,20228.85,20.98,1407,23,8760,17540,3600.0,1800.0,30min,0.5,9.966677310476156,9.940011753830605,7.553933865450399,8.542323675072579,linear,500,30.0
