total_load_kwh,total_pv_kwh,pv_curtailed_kwh,pv_used_kwh,energy_not_served_kwh,self_sufficiency_percent,pv_utilization_percent,throughput_charge_kwh,throughput_discharge_kwh,estimated_full_cycles,loss_of_load_hours,max_contiguous_lol_hours,diag_pv_points,diag_load_points,diag_pv_step_seconds,diag_load_step_seconds,diag_target_freq,diag_target_step_hours,diag_pv_mean_before,diag_pv_mean_after,diag_load_mean_before,diag_load_mean_after,diag_interp,capacity_kwh,power_kw
75031.5,65481.1,14660.16,50820.94,24739.87,67.0,78.0,6996.4,6467.08,67.17,9097,47,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,50,30.0
75031.5,65481.1,12216.92,53264.18,22468.99,70.0,81.0,9439.64,8737.97,45.31,8190,47,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,100,30.0
75031.5,65481.1,9779.42,55701.68,20203.39,73.0,85.0,11877.14,11003.57,38.01,7261,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,150,30.0
75031.5,65481.1,7440.37,58040.74,18028.51,76.0,89.0,14216.19,13178.44,34.12,6435,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,200,30.0
75031.5,65481.1,5376.87,60104.23,16107.6,79.0,92.0,16279.69,15099.36,31.26,5714,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,250,30.0
75031.5,65481.1,3667.52,61813.58,14513.06,81.0,94.0,17989.03,16693.89,28.78,5180,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,300,30.0
75031.5,65481.1,2338.8,63142.3,13269.31,82.0,96.0,19317.76,17937.65,26.49,4690,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,350,30.0
75031.5,65481.1,1733.72,63747.38,12692.47,83.0,97.0,19922.84,18514.49,23.91,4481,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,400,30.0
75031.5,65481.1,1403.83,64077.28,12369.24,84.0,98.0,20252.73,18837.72,21.6,4303,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,450,30.0
75031.5,65481.1,1153.41,64327.69,12119.26,84.0,98.0,20503.15,19087.7,19.68,4247,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,500,30.0
75031.5,65481.1,994.21,64486.89,11953.33,84.0,98.0,20662.35,19253.62,18.03,4204,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,550,30.0
75031.5,65481.1,887.45,64593.65,11835.74,84.0,99.0,20769.11,19371.21,16.62,4156,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,600,30.0
75031.5,65481.1,793.7,64687.4,11730.14,84.0,99.0,20862.86,19476.81,15.41,4128,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,650,30.0
75031.5,65481.1,699.95,64781.15,11624.54,85.0,99.0,20956.61,19582.41,14.37,4093,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,700,30.0
75031.5,65481.1,606.2,64874.9,11518.94,85.0,99.0,21050.36,19688.01,13.47,4073,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,750,30.0
75031.5,65481.1,512.45,64968.65,11413.34,85.0,99.0,21144.11,19793.61,12.69,4012,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,800,30.0
75031.5,65481.1,418.7,65062.4,11307.74,85.0,99.0,21237.86,19899.21,11.99,3964,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,850,30.0
75031.5,65481.1,341.35,65139.75,11217.26,85.0,99.0,21315.21,19989.7,11.37,3910,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,900,30.0
75031.5,65481.1,294.48,65186.63,11154.86,85.0,100.0,21362.08,20052.1,10.79,3899,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,950,30.0
75031.5,65481.1,247.6,65233.5,11092.46,85.0,100.0,21408.96,20114.5,10.28,3877,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,1000,30.0
75031.5,65481.1,200.73,65280.38,11030.06,85.0,100.0,21455.83,20176.9,9.81,3857,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,1050,30.0
75031.5,65481.1,153.85,65327.25,10967.66,85.0,100.0,21502.71,20239.3,9.38,3828,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,1100,30.0
75031.5,65481.1,106.98,65374.13,10905.26,85.0,100.0,21549.58,20301.7,8.99,3812,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,1150,30.0
75031.5,65481.1,88.03,65393.07,10868.6,86.0,100.0,21568.53,20338.35,8.63,3766,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,1200,30.0
75031.5,65481.1,88.03,65393.07,10849.4,86.0,100.0,21568.53,20357.55,8.28,3764,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,1250,30.0
75031.5,65481.1,88.03,65393.07,10830.2,86.0,100.0,21568.53,20376.75,7.96,3761,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,1300,30.0
75031.5,65481.1,88.03,65393.07,10811.0,86.0,100.0,21568.53,20395.95,7.67,3759,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,1350,30.0
75031.5,65481.1,88.03,65393.07,10791.8,86.0,100.0,21568.53,20415.15,7.39,3757,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,1400,30.0
75031.5,65481.1,88.03,65393.07,10772.6,86.0,100.0,21568.53,20434.35,7.14,3756,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,1450,30.0
75031.5,65481.1,88.03,65393.07,10753.4,86.0,100.0,21568.53,20453.55,6.9,3754,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,1500,30.0
75031.5,65481.1,88.03,65393.07,10734.2,86.0,100.0,21568.53,20472.75,6.68,3753,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,1550,30.0
75031.5,65481.1,88.03,65393.07,10715.0,86.0,100.0,21568.53,20491.95,6.47,3751,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,1600,30.0
75031.5,65481.1,88.03,65393.07,10695.8,86.0,100.0,21568.53,20511.15,6.27,3750,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,1650,30.0
75031.5,65481.1,88.03,65393.07,10676.6,86.0,100.0,21568.53,20530.35,6.09,3726,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,1700,30.0
75031.5,65481.1,88.03,65393.07,10657.4,86.0,100.0,21568.53,20549.55,5.92,3718,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,1750,30.0
75031.5,65481.1,88.03,65393.07,10638.2,86.0,100.0,21568.53,20568.75,5.75,3711,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,1800,30.0
75031.5,65481.1,88.03,65393.07,10619.0,86.0,100.0,21568.53,20587.95,5.6,3709,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,1850,30.0
75031.5,65481.1,88.03,65393.07,10599.8,86.0,100.0,21568.53,20607.15,5.45,3707,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,1900,30.0
75031.5,65481.1,88.03,65393.07,10580.6,86.0,100.0,21568.53,20626.35,5.31,3705,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,1950,30.0
75031.5,65481.1,88.03,65393.07,10561.4,86.0,100.0,21568.53,20645.55,5.18,3703,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,2000,30.0
75031.5,65481.1,88.03,65393.07,10542.2,86.0,100.0,21568.53,20664.75,5.05,3693,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,2050,30.0
75031.5,65481.1,88.03,65393.07,10523.0,86.0,100.0,21568.53,20683.95,4.93,3666,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,2100,30.0
75031.5,65481.1,88.03,65393.07,10503.8,86.0,100.0,21568.53,20703.15,4.82,3661,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,2150,30.0
75031.5,65481.1,88.03,65393.07,10484.6,86.0,100.0,21568.53,20722.35,4.71,3657,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,2200,30.0
75031.5,65481.1,88.03,65393.07,10465.4,86.0,100.0,21568.53,20741.55,4.6,3655,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,2250,30.0
75031.5,65481.1,88.03,65393.07,10446.2,86.0,100.0,21568.53,20760.75,4.5,3653,46,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.553933865450399,8.542323675072579,linear,2300,30.0
