total_load_kwh,total_pv_kwh,pv_curtailed_kwh,pv_used_kwh,energy_not_served_kwh,self_sufficiency_percent,pv_utilization_percent,throughput_charge_kwh,throughput_discharge_kwh,estimated_full_cycles,loss_of_load_hours,max_contiguous_lol_hours,diag_pv_points,diag_load_points,diag_pv_step_seconds,diag_load_step_seconds,diag_target_freq,diag_target_step_hours,diag_pv_mean_before,diag_pv_mean_after,diag_load_mean_before,diag_load_mean_after,diag_interp,capacity_kwh,power_kw
92877.0,305578.33,217784.95,87793.37,6187.48,93.0,28.999999999999996,14324.7,13220.84,137.52,3482,36,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,50,60.0
92877.0,305578.33,213128.6,92449.72,1904.29,98.0,30.0,18981.04,17504.03,91.11,904,21,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,100,60.0
92877.0,305578.33,211842.21,93736.12,742.75,99.0,31.0,20267.44,18665.58,64.81,294,20,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,150,60.0
92877.0,305578.33,211409.34,94168.99,367.81,100.0,31.0,20700.31,19040.51,49.58,145,18,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,200,60.0
92877.0,305578.33,211195.72,94382.61,194.94,100.0,31.0,20913.93,19213.38,40.03,35,17,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,250,60.0
92877.0,305578.33,211122.8,94455.53,151.74,100.0,31.0,20986.85,19256.58,33.43,32,16,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,300,60.0
92877.0,305578.33,211049.88,94528.44,108.54,100.0,31.0,21059.77,19299.78,28.72,31,15,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,350,60.0
92877.0,305578.33,210976.97,94601.36,65.34,100.0,31.0,21132.68,19342.98,25.19,29,14,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,400,60.0
92877.0,305578.33,210904.05,94674.28,22.14,100.0,31.0,21205.6,19386.18,22.44,23,11,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,450,60.0
92877.0,305578.33,210853.98,94724.34,0.0,100.0,31.0,21255.67,19408.32,20.22,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,500,60.0
92877.0,305578.33,210827.94,94750.39,0.0,100.0,31.0,21281.71,19408.32,18.38,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,550,60.0
92877.0,305578.33,210801.9,94776.43,0.0,100.0,31.0,21307.75,19408.32,16.85,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,600,60.0
92877.0,305578.33,210775.86,94802.47,0.0,100.0,31.0,21333.79,19408.32,15.55,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,650,60.0
92877.0,305578.33,210749.82,94828.51,0.0,100.0,31.0,21359.83,19408.32,14.44,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,700,60.0
92877.0,305578.33,210723.77,94854.55,0.0,100.0,31.0,21385.87,19408.32,13.48,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,750,60.0
92877.0,305578.33,210697.73,94880.59,0.0,100.0,31.0,21411.92,19408.32,12.64,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,800,60.0
92877.0,305578.33,210671.69,94906.64,0.0,100.0,31.0,21437.96,19408.32,11.89,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,850,60.0
92877.0,305578.33,210645.65,94932.68,0.0,100.0,31.0,21464.0,19408.32,11.23,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,900,60.0
92877.0,305578.33,210619.61,94958.72,0.0,100.0,31.0,21490.04,19408.32,10.64,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,950,60.0
92877.0,305578.33,210593.57,94984.76,0.0,100.0,31.0,21516.08,19408.32,10.11,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,1000,60.0
92877.0,305578.33,210567.52,95010.8,0.0,100.0,31.0,21542.12,19408.32,9.63,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,1050,60.0
92877.0,305578.33,210541.48,95036.84,0.0,100.0,31.0,21568.17,19408.32,9.19,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,1100,60.0
92877.0,305578.33,210515.44,95062.89,0.0,100.0,31.0,21594.21,19408.32,8.79,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,1150,60.0
92877.0,305578.33,210489.4,95088.93,0.0,100.0,31.0,21620.25,19408.32,8.42,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,8.587229190421892,10.57403085330449,linear,1200,60.0
