total_load_kwh,total_pv_kwh,pv_curtailed_kwh,pv_used_kwh,energy_not_served_kwh,self_sufficiency_percent,pv_utilization_percent,throughput_charge_kwh,throughput_discharge_kwh,estimated_full_cycles,loss_of_load_hours,max_contiguous_lol_hours,diag_pv_points,diag_load_points,diag_pv_step_seconds,diag_load_step_seconds,diag_target_freq,diag_target_step_hours,diag_pv_mean_before,diag_pv_mean_after,diag_load_mean_before,diag_load_mean_after,diag_interp,capacity_kwh,power_kw
121823.0,305578.33,195771.88,109806.45,13208.0,89.0,36.0,15441.97,14250.52,148.24,4875,36,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,50,60.0
121823.0,305578.33,188468.65,117109.68,6460.45,95.0,38.0,22745.2,20998.08,109.18,2707,36,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,100,60.0
121823.0,305578.33,184813.44,120764.89,3115.8,97.0,40.0,26400.41,24342.72,84.48,1048,30,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,150,60.0
121823.0,305578.33,183421.97,122156.35,1857.43,98.0,40.0,27791.87,25601.09,66.67,621,29,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,200,60.0
121823.0,305578.33,182591.51,122986.82,1116.07,99.0,40.0,28622.34,26342.45,54.88,350,29,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,250,60.0
121823.0,305578.33,182108.19,123470.13,694.65,99.0,40.0,29105.65,26763.87,46.47,168,21,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,300,60.0
121823.0,305578.33,181831.42,123746.9,463.58,100.0,40.0,29382.42,26994.94,40.17,108,20,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,350,60.0
121823.0,305578.33,181652.33,123926.0,322.52,100.0,41.0,29561.52,27136.0,35.33,59,19,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,400,60.0
121823.0,305578.33,181558.25,124020.08,259.82,100.0,41.0,29655.6,27198.7,31.48,35,17,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,450,60.0
121823.0,305578.33,181485.33,124093.0,216.62,100.0,41.0,29728.52,27241.9,28.38,33,16,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,500,60.0
121823.0,305578.33,181412.41,124165.91,173.42,100.0,41.0,29801.43,27285.1,25.84,32,16,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,550,60.0
121823.0,305578.33,181339.5,124238.83,130.22,100.0,41.0,29874.35,27328.3,23.72,30,15,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,600,60.0
121823.0,305578.33,181266.58,124311.75,87.02,100.0,41.0,29947.27,27371.5,21.93,29,14,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,650,60.0
121823.0,305578.33,181193.66,124384.66,43.82,100.0,41.0,30020.18,27414.7,20.4,27,13,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,700,60.0
121823.0,305578.33,181120.75,124457.58,0.62,100.0,41.0,30093.1,27457.9,19.07,1,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,750,60.0
121823.0,305578.33,181094.03,124484.29,0.0,100.0,41.0,30119.81,27458.52,17.88,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,800,60.0
121823.0,305578.33,181067.99,124510.34,0.0,100.0,41.0,30145.86,27458.52,16.83,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,850,60.0
121823.0,305578.33,181041.95,124536.38,0.0,100.0,41.0,30171.9,27458.52,15.89,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,900,60.0
121823.0,305578.33,181015.91,124562.42,0.0,100.0,41.0,30197.94,27458.52,15.05,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,950,60.0
121823.0,305578.33,180989.87,124588.46,0.0,100.0,41.0,30223.98,27458.52,14.3,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,1000,60.0
121823.0,305578.33,180963.82,124614.5,0.0,100.0,41.0,30250.02,27458.52,13.62,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,1050,60.0
121823.0,305578.33,180937.78,124640.54,0.0,100.0,41.0,30276.06,27458.52,13.0,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,1100,60.0
121823.0,305578.33,180911.74,124666.59,0.0,100.0,41.0,30302.11,27458.52,12.44,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,1150,60.0
121823.0,305578.33,180885.7,124692.63,0.0,100.0,41.0,30328.15,27458.52,11.92,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,1200,60.0
121823.0,305578.33,180859.66,124718.67,0.0,100.0,41.0,30354.19,27458.52,11.44,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,1250,60.0
121823.0,305578.33,180833.62,124744.71,0.0,100.0,41.0,30380.23,27458.52,11.0,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,1300,60.0
121823.0,305578.33,180807.57,124770.75,0.0,100.0,41.0,30406.27,27458.52,10.59,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,1350,60.0
121823.0,305578.33,180781.53,124796.79,0.0,100.0,41.0,30432.31,27458.52,10.22,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,1400,60.0
121823.0,305578.33,180755.49,124822.84,0.0,100.0,41.0,30458.36,27458.52,9.86,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,1450,60.0
121823.0,305578.33,180729.45,124848.88,0.0,100.0,41.0,30484.4,27458.52,9.53,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,1500,60.0
121823.0,305578.33,180703.41,124874.92,0.0,100.0,41.0,30510.44,27458.52,9.23,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,1550,60.0
121823.0,305578.33,180677.37,124900.96,0.0,100.0,41.0,30536.48,27458.52,8.94,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,1600,60.0
121823.0,305578.33,180651.32,124927.0,0.0,100.0,41.0,30562.52,27458.52,8.67,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,1650,60.0
121823.0,305578.33,180625.28,124953.04,0.0,100.0,41.0,30588.56,27458.52,8.41,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,1700,60.0
121823.0,305578.33,180599.24,124979.09,0.0,100.0,41.0,30614.61,27458.52,8.17,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,1750,60.0
121823.0,305578.33,180573.2,125005.13,0.0,100.0,41.0,30640.65,27458.52,7.95,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,1800,60.0
121823.0,305578.33,180547.16,125031.17,0.0,100.0,41.0,30666.69,27458.52,7.73,0,0,8760,17540,3600.0,1800.0,30min,0.5,34.88337058663565,34.7900411383763,11.887799315849486,13.869528092446064,linear,1850,60.0
