total_load_kwh,total_pv_kwh,pv_curtailed_kwh,pv_used_kwh,energy_not_served_kwh,self_sufficiency_percent,pv_utilization_percent,throughput_charge_kwh,throughput_discharge_kwh,estimated_full_cycles,loss_of_load_hours,max_contiguous_lol_hours,diag_pv_points,diag_load_points,diag_pv_step_seconds,diag_load_step_seconds,diag_target_freq,diag_target_step_hours,diag_pv_mean_before,diag_pv_mean_after,diag_load_mean_before,diag_load_mean_after,diag_interp,capacity_kwh,power_kw
71473.5,65481.1,15043.51,50437.6,21644.7,70.0,77.0,8010.22,7401.41,76.9,8448,45,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,50,30.0
71473.5,65481.1,12492.11,52988.99,19274.14,73.0,81.0,10561.61,9771.98,50.7,7340,45,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,100,30.0
71473.5,65481.1,10151.49,55329.61,17097.82,76.0,84.0,12902.23,11948.3,41.29,6382,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,150,30.0
71473.5,65481.1,7878.31,57602.79,14983.66,79.0,88.0,15175.41,14062.46,36.42,5660,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,200,30.0
71473.5,65481.1,5869.06,59612.04,13112.73,82.0,91.0,17184.66,15933.38,32.99,4872,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,250,30.0
71473.5,65481.1,4300.84,61180.27,11648.26,84.0,93.0,18752.88,17397.86,30.0,4309,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,300,30.0
71473.5,65481.1,3177.61,62303.49,10593.89,85.0,95.0,19876.11,18452.23,27.26,3897,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,350,30.0
71473.5,65481.1,2546.49,62934.62,9993.05,86.0,96.0,20507.24,19053.07,24.61,3589,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,400,30.0
71473.5,65481.1,2243.27,63237.83,9694.41,86.0,97.0,20810.45,19351.71,22.2,3531,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,450,30.0
71473.5,65481.1,2008.9,63472.21,9459.21,87.0,97.0,21044.82,19586.91,20.2,3425,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,500,30.0
71473.5,65481.1,1774.52,63706.58,9224.01,87.0,97.0,21279.2,19822.11,18.57,3305,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,550,30.0
71473.5,65481.1,1540.15,63940.96,8988.81,87.0,98.0,21513.57,20057.31,17.21,3240,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,600,30.0
71473.5,65481.1,1374.62,64106.48,8817.06,88.0,98.0,21679.1,20229.06,16.01,3158,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,650,30.0
71473.5,65481.1,1280.87,64200.23,8711.46,88.0,98.0,21772.85,20334.66,14.93,3065,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,700,30.0
71473.5,65481.1,1188.64,64292.47,8607.26,88.0,98.0,21865.08,20438.86,13.99,2990,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,750,30.0
71473.5,65481.1,1141.76,64339.34,8544.86,88.0,98.0,21911.96,20501.26,13.15,2957,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,800,30.0
71473.5,65481.1,1094.89,64386.22,8482.46,88.0,98.0,21958.83,20563.66,12.4,2927,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,850,30.0
71473.5,65481.1,1048.01,64433.09,8420.06,88.0,98.0,22005.71,20626.06,11.74,2916,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,900,30.0
71473.5,65481.1,1001.14,64479.97,8357.66,88.0,98.0,22052.58,20688.46,11.14,2887,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,950,30.0
71473.5,65481.1,954.26,64526.84,8295.26,88.0,99.0,22099.46,20750.86,10.61,2882,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,1000,30.0
71473.5,65481.1,907.39,64573.72,8232.86,88.0,99.0,22146.33,20813.26,10.12,2837,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,1050,30.0
71473.5,65481.1,860.51,64620.59,8170.46,89.0,99.0,22193.21,20875.66,9.68,2817,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,1100,30.0
71473.5,65481.1,813.64,64667.47,8108.06,89.0,99.0,22240.08,20938.06,9.28,2805,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,1150,30.0
71473.5,65481.1,766.76,64714.34,8045.66,89.0,99.0,22286.96,21000.46,8.91,2800,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,1200,30.0
71473.5,65481.1,719.89,64761.22,7983.26,89.0,99.0,22333.83,21062.86,8.58,2768,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,1250,30.0
71473.5,65481.1,673.01,64808.09,7920.86,89.0,99.0,22380.71,21125.26,8.26,2762,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,1300,30.0
71473.5,65481.1,626.14,64854.97,7858.46,89.0,99.0,22427.58,21187.66,7.97,2757,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,1350,30.0
71473.5,65481.1,579.26,64901.84,7796.06,89.0,99.0,22474.46,21250.06,7.71,2751,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,1400,30.0
71473.5,65481.1,532.39,64948.72,7733.66,89.0,99.0,22521.33,21312.46,7.46,2747,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,1450,30.0
71473.5,65481.1,485.51,64995.59,7671.26,89.0,99.0,22568.21,21374.86,7.22,2710,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,1500,30.0
71473.5,65481.1,438.64,65042.47,7608.86,89.0,99.0,22615.08,21437.26,7.0,2663,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,1550,30.0
71473.5,65481.1,391.76,65089.34,7546.46,89.0,99.0,22661.96,21499.66,6.8,2617,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,1600,30.0
71473.5,65481.1,344.89,65136.22,7484.06,90.0,99.0,22708.83,21562.06,6.61,2609,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,1650,30.0
71473.5,65481.1,298.01,65183.09,7421.66,90.0,100.0,22755.71,21624.46,6.43,2602,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,1700,30.0
71473.5,65481.1,251.14,65229.97,7359.26,90.0,100.0,22802.58,21686.86,6.25,2584,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,1750,30.0
71473.5,65481.1,204.26,65276.84,7296.86,90.0,100.0,22849.46,21749.26,6.09,2565,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,1800,30.0
71473.5,65481.1,157.39,65323.72,7234.46,90.0,100.0,22896.33,21811.66,5.94,2531,44,8760,17540,3600.0,1800.0,30min,0.5,7.475011701700619,7.455012524266798,7.148232611174459,8.13724597256219,linear,1850,30.0
