"PVWatts Hourly PV Performance Data"
"Requested Location","33027, USA"
"Location","Lat, Lng: 25.97, -80.34"
"Latitude (DD)","25.97"
"Longitude (DD)","-80.34"
"Elevation (m)","3"
"DC System Size (kW)","259.2"
"Module Type","Premium"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","7"
"Array Azimuth (deg)","127.12"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1"
"Inverter Efficiency (%)","97"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","Yes (0.7)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","19","3.2","0.14","0","19","0","0"
"1","1","1","0","0","19","2.9","0.14","0","19","0","0"
"1","1","2","0","0","19","2.7","0.14","0","19","0","0"
"1","1","3","0","0","19","2.7","0.14","0","19","0","0"
"1","1","4","0","0","19","2.7","0.14","0","19","0","0"
"1","1","5","0","0","19","2.9","0.14","0","19","0","0"
"1","1","6","0","0","19","3.2","0.14","0","19","0","0"
"1","1","7","184","25","19","3.6","0.14","62.349","19.846","6892.837","5472.455"
"1","1","8","586","68","20","4.1","0.14","314.122","25.032","66627.769","63693.816"
"1","1","9","0","91","21","4.2","0.14","93.373","22.493","19458.374","17719.605"
"1","1","10","199","255","21","4.1","0.14","408.848","27.636","88053.489","84576.649"
"1","1","11","418","262","22","4","0.14","586.859","31.698","125538.495","121111.855"
"1","1","12","297","302","22","3.8","0.14","536.937","31.14","114286.774","110145.232"
"1","1","13","422","255","22","3.6","0.14","548.444","31.659","117239.263","113022.91"
"1","1","14","232","242","22","3.3","0.14","377.636","28.955","80897.059","77601.549"
"1","1","15","726","85","21","2.9","0.14","373.343","28.289","78575.145","75338.468"
"1","1","16","204","85","21","2.2","0.14","126.519","23.697","24456.445","22591.035"
